  field   metric                    g_cad                    r_cad          RA      Dec     Ebv          l          b        phi      theta   Entry
    412      0.5       2.4556134000013117       2.4556134000013117      114.26    -2.65     0.1   220.9648     9.3964   116.6688   -23.8712     411
    413      0.5        1.860196800000267        1.860196800000267      121.35    -2.65    0.04   224.4665    15.6001   124.2147   -22.4427     412
    414      0.5       1.9081944999998086       1.9081944999998086      128.44    -2.65    0.03   228.2238    21.7243   131.6006   -20.7107     413
    415      1.0       2.9357985999959055       2.9357985999959055      135.53    -2.65    0.02   232.3522    27.7344   138.8185     -18.71     414
    416      0.5       1.8846181000008073       1.8846181000008073      142.62    -2.65    0.04   236.9977    33.5844   145.8709   -16.4782     415
    417      1.0       2.9492418999980146       2.9492418999980146      149.71    -2.65    0.05   242.3488    39.2104   152.7698   -14.0539     416
    418      1.0       2.9564699000038672       2.9564699000038672       156.8    -2.65    0.05   248.6488     44.522   159.5343   -11.4757     417
    419      1.0       2.9794906999959494       2.9794906999959494      163.89    -2.65    0.05   256.1997    49.3891    166.189    -8.7821     418
    420      1.0        3.022303199999442        3.022303199999442      170.98    -2.65    0.03   265.3344    53.6273   172.7621    -6.0108     419
    421      1.0       3.0013658000025316       3.0013658000025316      178.07    -2.65    0.03   276.3096    56.9891   179.2841    -3.1989     420
    422      1.0       2.9669328500021948       2.9669328500021948      185.16    -2.65    0.03   289.0738    59.1829   185.7864    -0.3829     421
    423      1.0       2.9986805000007735       2.9986805000007735      192.25    -2.65    0.02      303.0      59.95   192.3005     2.4008     422
    424      1.0       2.9545080499992764       2.9545080499992764      199.34    -2.65    0.03   316.9262    59.1829   198.8565      5.116     423
    425      1.0         2.94017359999998         2.94017359999998      206.43    -2.65    0.05   329.6904    56.9891   205.4825     7.7264     424
    426      1.0       2.9571874500034028       2.9571874500034028      213.52    -2.65    0.06   340.6656    53.6273   212.2032    10.1956     425
    427      1.0        2.937963000003947        2.937963000003947      220.61    -2.65    0.08   349.8003    49.3891   219.0388    12.4871     426
    428      1.0        2.959467599997879        2.959467599997879       227.7    -2.65    0.13   357.3512     44.522   226.0035    14.5648     427
    429      1.0        2.951151649998792        2.951151649998792      234.79    -2.65    0.16     3.6512    39.2104   233.1039    16.3936     428
    430      1.0       2.8945832999961567       2.8945832999961567      241.88    -2.65    0.17     9.0023    33.5844   240.3383    17.9405     429
    431      1.0       2.9351968000009947       2.9351968000009947      248.97    -2.65    0.28    13.6478    27.7344   247.6954    19.1757     430
    432      1.0         2.95970484999998         2.95970484999998      256.06    -2.65    0.25    17.7762    21.7243   255.1546    20.0738     431
    433      1.0       2.9473726999967766       2.9473726999967766      263.15    -2.65    0.26    21.5335    15.6001   262.6867    20.6156     432
    434      1.0        2.917361100000562        2.917361100000562      270.24    -2.65    0.89    25.0352     9.3964   270.2564    20.7891     433
    435     0.75       0.9410531999965315       0.9410531999965315      277.33    -2.65     1.7    28.3772     3.1405   277.8248    20.5904     434
    436     0.75       0.9374363499991887       0.9374363499991887   284.38942    -2.65    0.66    31.6292    -3.1176   285.3208    20.0272     435
    437      1.0       2.9167477000009967       2.9167477000009967   291.41827    -2.65    0.34    34.8701     -9.357   292.7104    19.1166     436
    438      1.0       2.9211341999980505       2.9211341999980505   298.44712    -2.65    0.25    38.1931   -15.5847   299.9983    17.8758     437
    439      1.0       2.9333912000001874       2.9333912000001874   305.47596    -2.65    0.07    41.6861   -21.7785   307.1649    16.3299     438
    440      1.0       2.9146469500010426       2.9146469500010426   312.50481    -2.65    0.06    45.4545   -27.9124   314.1996    14.5081     439
    441      1.0         2.93327539999882         2.93327539999882   319.53365    -2.65    0.07    49.6322   -33.9526   321.1009    12.4427     440
    442      1.0        2.919525400000566        2.919525400000566    326.5625    -2.65    0.04    54.3982   -39.8527   327.8756    10.1678     441
    443      1.0       2.9353066999974544       2.9353066999974544   333.59135    -2.65    0.08    59.9985   -45.5461   334.5376     7.7188     442
    444      1.0        2.934363399996073        2.934363399996073   340.62019    -2.65    0.04    66.7753   -50.9324   341.1065      5.131     443
    445      1.0         2.92686340000364         2.92686340000364   347.64904    -2.65    0.05    75.1895   -55.8572   347.6065       2.44     444
    446      0.5       1.9684317499995814       1.9684317499995814   354.67788    -2.65    0.03    85.7922   -60.0843   354.0648    -0.3187     445
    447      0.5        2.423316000000341        2.423316000000341     5.23912     4.55    0.02   109.9695   -57.3406      6.612     2.0961     446
    448      1.0       2.9298610999976518       2.9298610999976518       12.25     4.55    0.02      123.0     -58.05    13.0397    -0.6503     447
    449      1.0        2.907332150000002        2.907332150000002    19.26088     4.55    0.02   136.0305   -57.3406    19.5004    -3.3261     448
    450      1.0       2.8906076499988558       2.8906076499988558    26.27176     4.55    0.03    148.104   -55.2996     26.021    -5.8964     449
    451      1.0        2.890850700001465        2.890850700001465    33.28264     4.55    0.05   158.6604   -52.1432     32.625    -8.3267     450
    452      1.0       2.9356829000025755       2.9356829000025755    40.29352     4.55    0.04   167.5959   -48.1248    39.3314   -10.5824     451
    453     0.75       0.9914641000032134       0.9914641000032134     47.3044     4.55    0.14   175.0843     -43.47    46.1536   -12.6297     452
    454     0.75       0.9619908000022406       0.9619908000022406    54.31528     4.55    0.13   181.3923   -38.3537    53.0984   -14.4354     453
    455     0.75        0.961070599998493        0.961070599998493    61.32616     4.55    0.24   186.7807   -32.9037    60.1647   -15.9688     454
    456     0.75       0.9696411499971873       0.9696411499971873    68.33704     4.55    0.22   191.4694   -27.2113     67.343   -17.2016     455
    457     0.75       0.9781017999994219       0.9781017999994219    75.34792     4.55    0.07   195.6345    -21.342    74.6156   -18.1102     456
    458      1.0        2.880983800001559        2.880983800001559     82.3588     4.55    0.11   199.4152   -15.3436    81.9569   -18.6762     457
    459     0.75       0.9805555999992066       0.9805555999992066    89.36968     4.55    0.51   202.9232     -9.252    89.3359   -18.8878     458
    460     0.75       0.9186921000000439       0.9186921000000439    96.38056     4.55    0.67   206.2514    -3.0953    96.7181   -18.7406     459
    461     0.75       0.9435995499989076       0.9435995499989076   103.30689     4.55    0.61   209.4423     3.0284   103.9803   -18.2458     460
    462     0.75       0.9938889000040945       0.9938889000040945   110.14867     4.55     0.2   212.5713     9.0982   111.0934    -17.426     461
    463      0.5        1.987731499997608        1.987731499997608   116.99044     4.55    0.05   215.7493    15.1705   118.1214   -16.2932     462
    464      0.5       2.0658333000028506       2.0658333000028506   123.83222     4.55    0.03   219.0543    21.2261    125.046   -14.8683     463
    465      1.0       2.9411573999968823       2.9411573999968823     130.674     4.55    0.03   222.5779    27.2432   131.8566   -13.1766     464
    466      0.5       1.8981249499993282       1.8981249499993282   137.51578     4.55    0.04   226.4358     33.195   138.5498   -11.2461     465
    467      1.0        2.959895799998776        2.959895799998776   144.35756     4.55    0.04    230.781    39.0452   145.1299    -9.1071     466
    468      1.0       2.9381944499982637       2.9381944499982637   151.19933     4.55    0.02   235.8249    44.7427   151.6076     -6.791     467
    469      0.5        2.003553299997293        2.003553299997293   158.04111     4.55    0.04   241.8666    50.2114   157.9987    -4.3296     468
    470      1.0        2.956099550003273        2.956099550003273   164.88289     4.55    0.05   249.3296    55.3331   164.3238    -1.7551     469
